rank	word	score	sources	googleRank	wordfreqRank	cocaRank
1	the	0.002255	google,wordfreq,coca	1	1	1
2	and	0.004509	google,wordfreq,coca	2	2	2
3	you	0.007531	google,wordfreq,coca	4	4	3
4	for	0.008252	google,wordfreq,coca	3	3	4
5	not	0.011815	google,wordfreq,coca	5	7	5
6	but	0.017045	google,wordfreq,coca	12	8	6
7	all	0.023764	google,wordfreq,coca	7	9	12
8	his	0.024531	google,wordfreq,coca	20	10	8
9	can	0.024576	google,wordfreq,coca	10	12	11
10	get	0.030168	google,wordfreq,coca	24	18	9
11	who	0.033820	google,wordfreq,coca	21	15	13
12	one	0.035218	google,wordfreq,coca	14	11	17
13	out	0.035534	google,wordfreq,coca	16	14	16
14	see	0.037022	google,wordfreq,coca	19	25	14
15	she	0.037653	google,wordfreq,coca	35	20	10
16	her	0.042794	google,wordfreq,coca	32	17	15
17	our	0.044192	google,wordfreq,coca	13	24	21
18	how	0.046627	google,wordfreq,coca	25	22	19
19	now	0.047394	google,wordfreq,coca	23	23	20
20	new	0.049288	google,wordfreq,coca	8	19	27
21	say	0.052670	google,wordfreq,coca	65	37	7
22	use	0.054699	google,wordfreq,coca	17	39	24
23	two	0.056142	google,wordfreq,coca	30	26	23
24	him	0.056908	google,wordfreq,coca	46	27	18
25	any	0.058171	google,wordfreq,coca	18	28	28
26	way	0.060200	google,wordfreq,coca	39	30	22
27	day	0.062004	google,wordfreq,coca	29	33	26
28	may	0.064394	google,wordfreq,coca	15	29	33
29	man	0.075262	google,wordfreq,coca	56	38	25
30	its	0.078102	google,wordfreq,coca	26	21	40
31	why	0.079410	google,wordfreq,coca	54	35	29
32	too	0.085047	google,wordfreq,coca	58	32	32
33	own	0.087978	google,wordfreq,coca	44	41	37
34	big	0.089556	google,wordfreq,coca	48	45	36
35	off	0.090052	google,wordfreq,coca	40	34	41
36	old	0.093164	google,wordfreq,coca	52	40	38
37	let	0.093570	google,wordfreq,coca	70	47	31
38	try	0.103761	google,wordfreq,coca	87	59	30
39	yes	0.104708	google,wordfreq,coca	63	57	39
40	put	0.106647	google,wordfreq,coca	86	44	35
41	few	0.112193	google,wordfreq,coca	74	48	42
42	job	0.112960	google,wordfreq,coca	57	60	46
43	law	0.113321	google,wordfreq,coca	49	54	50
44	ask	0.116117	google,wordfreq,coca	95	68	34
45	end	0.117018	google,wordfreq,coca	45	42	56
46	set	0.120085	google,wordfreq,coca	37	46	60
47	run	0.121347	google,wordfreq,coca	84	58	43
48	car	0.123918	google,wordfreq,coca	42	62	58
49	lot	0.126849	google,wordfreq,coca	94	49	45
50	pay	0.128292	google,wordfreq,coca	77	69	48
51	war	0.131223	google,wordfreq,coca	78	56	52
52	buy	0.134019	google,wordfreq,coca	31	81	65
53	yet	0.134064	google,wordfreq,coca	81	50	54
54	bad	0.135326	google,wordfreq,coca	104	51	47
55	add	0.136905	google,wordfreq,coca	33	99	63
56	far	0.139340	google,wordfreq,coca	105	53	49
57	low	0.145518	google,wordfreq,coca	55	74	66
58	art	0.150613	google,wordfreq,coca	50	80	70
59	top	0.150974	google,wordfreq,coca	27	52	83
60	air	0.153454	google,wordfreq,coca	62	63	71
